pays_affecte,AGO,BDI,BEN,BFA,BWA,CAF,CIV,CMR,COD,COG,ETH,GAB,GHA,GIN,GMB,GNB,GNQ,KEN,LBR,LSO,MLI,MOZ,MRT,MWI,NAM,NER,NGA,RWA,SDN,SEN,SLE,SOM,SWZ,TCD,TGO,TZA,UGA,ZAF,ZMB,ZWE
ETH,-1.0216839042798647e-7,1.2661874643362387e-6,-8.35092581791668e-8,-3.600733642050871e-8,-9.538812138936698e-9,-0.00024486166413988884,7.525592725927339e-10,6.037701334882994e-6,7.100283363905503e-6,2.9437783511104633e-6,-0.033812111188478766,-9.771458352332018e-8,3.305876709559768e-10,3.748770399150892e-10,-4.6583892584314535e-12,-8.560361650516514e-12,-6.0810298521104e-8,0.011534078336080934,-1.3188474145598346e-11,1.3595699190738693e-10,-3.730351496252289e-8,1.3480153320736417e-6,3.8362168664183034e-10,1.3614601860221141e-6,-7.893317330309041e-9,3.0141823153122017e-6,2.95912730667501e-6,4.095621488692257e-6,0.011901850838824555,3.729573577359985e-10,-3.627423371843606e-12,0.011715652432078439,-1.3895093325418302e-8,-2.448532104108056e-4,1.6717374173802248e-9,-1.7748799551528803e-4,-1.788154810971532e-4,-1.3061895257225572e-8,1.2898983156859053e-6,-2.371717000725948e-8
GAB,-1.4609263858786226e-4,1.0813842805485545e-6,1.7900193772747357e-6,-6.722667707908538e-8,-5.342635466365322e-8,-2.6321213987513543e-4,1.08160790544823e-9,0.01138413341085752,-1.41665725794114e-4,0.011780575979076056,-9.771458352332019e-8,-0.033651721376370985,1.2540020515577952e-9,3.94023049878776e-10,-4.93992198705184e-12,-9.041178929382532e-12,0.011773901492473376,-2.2933111139433736e-8,-1.749428620099158e-11,2.746581431497285e-10,-3.955446677956219e-8,-3.2559260204918834e-8,4.067695745253407e-10,-3.384126633673622e-8,2.2565385540705322e-6,3.219987465811835e-6,-1.1714403182441374e-4,1.0585100039814438e-6,4.70751374403691e-6,3.954972737364533e-10,-3.7370723457442184e-12,2.3922130958549182e-9,6.135568243148466e-10,-1.1351533733781218e-4,-2.727395311872449e-8,1.025211386223509e-6,1.0817423354185631e-6,-2.6387432135962826e-8,3.3532098490510197e-6,-5.29142301072967e-8
GHA,-1.956633779561586e-11,-1.2382055473219867e-12,-3.636352901616058e-4,0.011507445810764237,3.557213003569722e-15,-1.441523824210152e-8,0.011777350927338743,-1.2609431598118681e-7,1.6213190508669726e-10,1.4654614654159344e-9,3.305876709559769e-10,1.2540020515577952e-9,-0.03353045284277661,-1.4155623414274427e-4,-5.117819945506848e-8,1.4222343031554555e-6,1.2863694642303903e-9,-6.644059315567176e-12,-1.4577126243135025e-4,4.338404498438883e-17,-2.6415078009753805e-4,1.566857091876126e-14,2.698280800546064e-6,1.5830128928174826e-14,3.128993217193882e-13,-1.1147652621224889e-4,7.055102310983902e-6,-1.2136658525083039e-12,-1.58652448489221e-8,4.097400406782501e-6,4.507983207155934e-6,-6.778223939807863e-12,-1.1970498058591913e-16,1.284058626506573e-6,0.011775770926179934,-1.0925403739424178e-12,-1.1344717896080275e-12,-4.168067000238329e-15,-9.561637523359944e-13,3.3808129092864186e-15
GIN,-4.702059537399745e-12,-8.021064912574044e-13,2.0273515826919376e-6,-1.3042476152171415e-4,4.762963732400299e-15,-8.710471253652769e-9,0.005770619846475056,-1.9910482734163854e-8,1.050357959327061e-10,3.111912236826457e-10,1.8743851995754457e-10,1.9701152493938795e-10,-7.077811707137209e-5,-0.033706282673244145,-7.133771750360071e-5,0.005875427798444362,2.0314044012023332e-10,-3.764776304152265e-12,0.005692694812928634,1.2836235307038669e-17,0.005809562762380115,1.1102471409734573e-14,-1.318075545307688e-4,1.1263176467025212e-14,7.908976060151834e-14,-5.916394638626132e-5,6.984356980939616e-7,-7.860762071392232e-13,-8.995370455784754e-9,0.005711400475798499,0.005828258722351615,-3.84319290586537e-12,-1.0272575519126046e-16,7.285803966067321e-7,2.799308092155081e-6,-7.151608111725917e-13,-7.433270050377142e-13,-1.2332249980335871e-15,-7.424363088811861e-13,4.630879112113752e-15
GMB,3.522065006475483e-13,5.977852465768722e-14,-9.815381490689212e-8,4.294664451541561e-6,-3.5442119240363535e-16,6.493044338149941e-10,8.77993600618109e-6,1.4976308790705866e-9,-7.827992551983944e-12,-2.3334307889553314e-11,-1.3975167775294353e-11,-1.481976596115552e-11,-1.5353459836520548e-7,-4.280263050216042e-4,-0.03346436348797901,-4.414768940669003e-4,-1.5279841383963534e-11,2.8069732291919615e-13,4.209139130526874e-6,-9.600469576563029e-19,-4.2790076493263014e-4,-8.272207646542669e-16,-4.4147820077259075e-4,-8.391851289047686e-16,-5.921857274874815e-15,4.412214372264564e-6,-5.2914963969390495e-8,5.858386674114778e-14,6.706829058875785e-10,0.03570196498636647,4.367562591424138e-6,2.865433633529464e-13,7.65022319004746e-18,-5.432185252617971e-8,-3.9973097270934167e-8,5.329707872860431e-14,5.539599483613169e-14,9.223529166831586e-17,5.5304075667089256e-14,-3.4458130176377094e-16
GNB,3.229298458258336e-13,5.493585402014205e-14,-1.1238302435918419e-7,6.219978169763062e-6,-3.2593898719000356e-16,5.966455485996867e-10,-1.7580351088745927e-4,1.3705405307229856e-9,-7.193845924849617e-12,-2.1384416680396984e-11,-1.284054247577477e-11,-1.3561768394073796e-11,2.1333514547331837e-6,0.017626283395333082,-2.207384470334502e-4,-0.03342263606913116,-1.3983187720909677e-11,2.5790763389897857e-13,-1.7565562082925596e-4,-8.808479928958885e-19,-3.9535989354781947e-4,-7.602963538220308e-16,-2.166232753229856e-4,-7.712967149503905e-16,-5.4305869213934616e-15,4.053561637796877e-6,-4.826684762810659e-8,5.383796312230471e-14,6.162310522347988e-10,0.01767263819942424,-1.7980953016739616e-4,2.6327929232827904e-13,7.03282787023101e-18,-4.9911590803263716e-8,-1.073977933598985e-7,4.898016368887009e-14,5.0909139817760905e-14,8.462635175527394e-17,5.083536733907074e-14,-3.1689456514649914e-16
GNQ,6.773336176603764e-6,-6.794647263762632e-8,2.747915534137659e-6,-1.0365410208680643e-7,2.614975518472106e-9,-1.7307580256530858e-4,1.6696893436757315e-9,0.0174823508907883,8.901576291900583e-6,-5.47633581971867e-4,-9.1215447781656e-8,0.017660852238710063,1.9295541963455854e-9,6.094213203606999e-10,-7.639920691981768e-12,-1.3983187720909677e-11,-0.033568051535082924,3.4082320879427087e-9,-2.701785458514932e-11,-1.2648000434877995e-11,-6.117367418544473e-8,1.7778938725870698e-9,6.290968286380861e-10,1.8417282128272985e-9,-1.0448304641615699e-7,4.979668992079303e-6,-1.7986047551414827e-4,-6.650872914157785e-8,4.3763794757391035e-6,6.116630613117812e-10,-5.780827020820184e-12,1.8456507148014602e-9,-3.1153515759218106e-11,-1.771514197873973e-4,-4.186449647135563e-8,-6.473079467225066e-8,-6.79996853957989e-8,1.2151405718527347e-9,-1.735619945418236e-7,2.587967130133129e-9
KEN,2.060166977382133e-6,-6.385875740214604e-5,1.2516547733448062e-9,5.425152007943083e-10,4.803968477863981e-7,5.26470936505861e-6,-1.1337566486625131e-11,-1.2932111704924644e-7,-2.0198161803660874e-4,1.480550754328861e-6,0.008650558752060701,-1.71998333545753e-8,-4.983044486675385e-12,-5.6471644562283995e-12,7.017433072979911e-14,1.2895381694948938e-13,1.7041160439713552e-9,-0.03367830369965231,1.9868401187309894e-13,-6.722883645918241e-9,5.619429798588805e-10,-6.675233005076988e-5,-5.778906193999092e-12,-6.741801253420021e-5,4.46305539906023e-7,-4.540595178424821e-8,-4.417089644303452e-8,-2.0398064663419065e-4,-1.8019349147948264e-4,-5.6182580540060874e-12,5.46434125393543e-14,0.008739629769394698,6.880802684074868e-7,3.687994609519351e-6,-2.5085226582305975e-11,0.008790141553452101,0.008855852680554041,6.45892504515817e-7,-6.50052517741782e-5,1.1824690798278314e-6
LBR,3.760135470514537e-13,5.573038587642739e-14,1.328674642791872e-6,-1.4154599676071704e-4,-3.157239145499295e-16,6.090861807167523e-10,0.01178113380080415,1.7654592735413958e-9,-7.297846402565238e-12,-2.5568537493064315e-11,-1.318847414559834e-11,-1.7494286200991584e-11,-1.4577126243135025e-4,0.01138538962585727,1.4030463768422915e-6,-1.1710374721950394e-4,-1.8011903056766214e-11,2.6491201583079857e-13,-0.03365174102379714,-9.862965327775794e-19,-2.629632323871418e-4,-7.655092508426269e-16,4.140144581470895e-6,-7.763283750770703e-16,-6.259683392871955e-15,4.19143136158204e-6,-7.247540774584662e-8,5.4617427110335944e-14,6.329286450237048e-10,-1.1232991501108733e-4,0.011773888825949924,2.7041294656111943e-13,6.981638668989414e-18,-5.1260284892641756e-8,4.48713204047695e-6,4.964352862915176e-14,5.1594312196091394e-14,9.475718624667154e-17,5.082350006640388e-14,-3.0665684793198863e-16
LSO,4.376911283416807e-6,-2.503378094761764e-8,1.1175491391522801e-13,-9.414582121439169e-15,-3.6264978220287673e-4,2.6625719180015193e-9,1.7456192108565697e-16,7.823322848070982e-10,-2.3544774064876976e-7,-6.655728390840525e-8,4.0787097572216115e-10,8.239744294491865e-10,1.3015213495316653e-16,7.701741184223201e-17,-9.60046957656303e-19,-1.761695985791777e-18,-2.5296000869756003e-11,-2.6891534583672984e-8,-2.958889598332737e-18,-0.03338992391284216,-7.68763655961358e-15,-3.5578219550882556e-4,7.905804543549316e-17,3.5340232255857295e-6,-3.615722492722189e-4,6.228154965897883e-13,-7.647584189801516e-12,-2.4511037734179183e-8,-4.1242417822046436e-11,7.68627430569299e-17,-7.400528016685923e-19,4.1136697982561734e-10,-3.6778928421679147e-4,-4.042946781964325e-11,-1.6495465922893035e-15,3.491254746583503e-6,-2.461392317685342e-8,0.035690670381635835,1.818261760944307e-5,-3.577529879810488e-4
MLI,4.700455368227049e-10,7.978289327415228e-11,-1.3171047058706958e-4,0.005804636015373113,-4.730325436336366e-13,8.665866958341741e-7,0.005829637229833977,1.9986154744797686e-6,-1.0447562886166398e-8,-3.114102529377182e-8,-1.865175748126144e-8,-1.9777233389781097e-8,-1.3207539004876908e-4,0.0058095627623801155,-7.131679415543836e-5,-1.3178663118260645e-4,-2.0391224728481583e-8,3.7462865323925346e-10,-1.314816161935709e-4,-1.281272759935597e-15,-0.033540416167559296,-1.1040459190720921e-12,0.005873722271631425,-1.1200142223809772e-12,-7.903186281281996e-12,0.00588868490850052,-7.061092535592565e-5,7.818845297197146e-11,8.951173330195992e-7,0.005709725322389733,-5.773273882253952e-5,3.8243099537553284e-10,1.0210379801099479e-14,-7.249988416481267e-5,-5.561270037117614e-5,7.1132509437954845e-11,7.39338127494234e-11,1.2309665248857107e-13,7.381147629439319e-11,-4.598997650510209e-13
MOZ,-4.17562747384449e-5,-4.379176234762879e-5,-6.525941156117758e-12,-1.0029946605260236e-12,-1.7473505567283735e-4,6.622367971634731e-7,2.1660812570232442e-14,-2.437703809646992e-8,-8.684311312902315e-5,1.3222032685160066e-6,6.740076660368209e-7,-1.6279630102459414e-8,7.83428545938063e-15,1.110247140973457e-14,-1.3787012744237781e-16,-2.534321179406769e-16,5.926312908623567e-10,-4.450155336717992e-5,-3.827546254213133e-16,-5.929703258480427e-5,-1.1040459190720923e-12,-0.03354615647350257,1.1353782433592691e-14,0.005855374611321187,-1.73522339260427e-4,8.915700091478157e-11,3.471745106217922e-10,-4.287669512471947e-5,-2.220820394405439e-8,1.1038081102511464e-14,-1.0759405529653209e-16,6.807721017360795e-7,0.005885801782167529,-7.562092831666644e-9,1.1216633189504407e-13,0.005782247073893065,-4.309695919557538e-5,0.005696887065687734,0.005711271386748342,0.005846112221126192
MRT,-1.450154711834453e-11,-2.4614127949024333e-12,4.0637166108880646e-6,-1.7910833616527325e-4,1.4593712100752032e-14,-2.6735399499722518e-8,-1.7764638875940179e-4,-6.165998723544664e-8,3.2232178990841233e-10,9.607430607622344e-10,5.754325299627453e-10,6.101543617880111e-10,4.0474212008190955e-6,-3.954226635923064e-4,-2.2073910038629537e-4,-2.1662327532298556e-4,6.290968286380862e-10,-1.1557812387998179e-11,6.210216872206342e-6,3.952902271774657e-17,0.01762116681489427,3.406134730077808e-14,-0.03342258346567314,3.455399164435702e-14,2.4382410801926997e-13,-1.816740734501221e-4,2.178440540423992e-6,-2.412222102369604e-12,-2.7615608452473726e-8,0.017672690507794644,3.986544834306201e-6,-1.1798525443356322e-11,-3.150043913183888e-16,2.2367217578127867e-6,1.7165766312283534e-6,-2.194536476950626e-12,-2.280960566375384e-12,-3.797700633972632e-15,-2.2771864456195765e-12,1.4188547666359041e-14
MWI,-8.87813316889743e-5,-8.844870822970518e-5,-1.3375943178898111e-11,-2.0329110282150166e-12,-8.632999323337159e-5,1.344961987073228e-6,4.39277786251867e-14,-5.027859935183996e-8,-1.7647301926772946e-4,2.7482098409809695e-6,1.3614601860221143e-6,-3.384126633673621e-8,1.5830128928174823e-14,2.2526352934050417e-14,-2.797283763015896e-16,-5.14197809966927e-16,1.2278188085515324e-9,-8.98906833789336e-5,-7.7632837507707e-16,1.1780077418619098e-6,-2.2400284447619547e-12,0.011710749222642373,2.303599442957134e-14,-0.03332268520078081,-8.465333314604159e-5,1.8089131297472975e-10,7.130538289230882e-10,-8.660049708895571e-5,-4.4949338745800006e-8,2.2395456953365527e-14,-2.1830833781679406e-16,1.3751220594213716e-6,-1.207153473906162e-4,-1.5353455792976957e-8,2.2966908503737184e-13,0.011679803699557973,-8.704524418348203e-5,-1.1317559708060188e-4,0.01168025940431382,-2.0949211927733292e-4
NAM,0.007082195753302048,1.6240946909992268e-6,1.9437675935506314e-10,-1.2488038007633535e-11,0.006921047443758632,2.620725739678588e-6,2.2387999705841367e-13,1.3073841084773608e-6,-1.6228415956648693e-4,-1.0938204097828103e-4,-4.735990398185427e-9,1.3539231324423197e-6,1.8773959303163295e-13,9.490771272182203e-14,-1.1843714549749634e-15,-2.172234768557385e-15,-4.179321856646279e-8,3.570444319248183e-7,-3.755810035723172e-15,-7.231444985444377e-5,-9.483823537538394e-12,-2.082268071125124e-4,9.752964320770802e-14,-5.079199988762497e-5,-0.033448920790583044,7.690536625622344e-10,-1.3052706057122742e-8,1.5898375289523143e-6,-3.206727309101787e-8,9.482248561043096e-14,-9.096773191954235e-16,-5.475947172109214e-9,-7.014708518247273e-5,-4.548032308388081e-8,-2.90873042832214e-12,-4.893929408181886e-5,1.618520153079671e-6,0.006947518890577296,0.006832944177409259,0.00690135719402499
NER,-4.57550079900753e-8,-7.733104432562417e-9,0.006956138309506128,0.006957927697476434,4.5789429621638306e-11,-8.401086737468289e-5,-1.4389584767306396e-4,-1.9523013355544027e-4,1.0126491732904396e-6,3.0340066608166144e-6,1.8085093891873207e-6,1.9319924794871014e-6,-6.688591572734933e-5,-7.099673566351361e-5,8.82442874452913e-7,1.621424655118751e-6,1.9918675968317213e-6,-3.632476142739855e-8,2.5148588169492245e-6,1.2456309931795763e-13,0.007066421890200623,1.0698840109773786e-10,-7.266962938004886e-5,1.0853478778483785e-10,7.690536625622341e-10,-0.03346915167250728,0.006938778656039763,-7.578563623914246e-9,-8.679225547200659e-5,-7.064964831207241e-5,6.866290962979173e-7,-3.7081225603097764e-8,-9.890441449433974e-13,0.00702970974380593,-1.7963665436160746e-4,-6.8944686349585974e-9,-7.165965606438698e-9,-1.1967241503216473e-11,-7.151305016448288e-9,4.451694638855341e-11
NGA,1.0659022076264972e-6,-2.7055226979923522e-8,0.008813381896821572,-2.4217572756575395e-4,5.382539414849536e-10,-1.9740509111686102e-4,3.503252383638483e-6,0.008815649379304187,3.5439782433581893e-6,-8.750887581265736e-5,2.219345480006257e-6,-8.785802386831028e-5,5.291326733237929e-6,1.047653547140943e-6,-1.3228740992347625e-8,-2.4133423814053297e-8,-8.993023775707413e-5,-4.4170896443034494e-8,-5.435655580938497e-8,-1.9118960474503786e-12,-1.0591638803388845e-4,5.207617659326883e-10,1.0892202702119962e-6,5.34790371692316e-10,-1.631588257140343e-8,0.008673473320049708,-0.03346505771351079,-2.6494014121287012e-8,-1.0650900356689924e-4,1.0591120692093321e-6,-9.77312363021669e-9,-4.551124059011244e-8,-7.332334797134985e-12,0.008720970509134274,-1.3519283414528644e-4,-2.526147237759015e-8,-2.6365586377393925e-8,1.8368298359757655e-10,-4.3938617286264454e-8,5.310629313671938e-10
RWA,-6.481489751518514e-5,0.008783232379244388,5.310361660292856e-10,1.0905618210897192e-10,9.655950309508947e-7,-6.584929934056538e-5,-2.3255178694448577e-12,1.6071058188039848e-6,0.008533484117333366,-6.481549627613444e-5,3.0717161165191924e-6,7.938825029860829e-7,-9.102493893812284e-13,-1.179114310708835e-12,1.464596668528695e-14,2.6918981561152362e-14,-3.3254364570788926e-8,-2.0398064663419062e-4,4.096307033275196e-14,-6.1277594335447924e-9,1.1728267945795713e-10,-6.431504268707922e-5,-1.2061110511848023e-12,-6.495037281671681e-5,1.9872969111903935e-6,-9.473204529892809e-9,-2.649401412128701e-8,-0.03347171092283117,7.486633772934235e-7,-1.1725772007024858e-12,1.1420272496286018e-14,3.1208066912511754e-6,6.633064662997718e-7,7.907035142436291e-7,-9.407253549502759e-12,0.00853606654522075,0.008786417130910693,5.887167019476337e-7,-1.3028042748826086e-4,1.6404432165293357e-6
