"","AGO","BDI","BEN","BFA","BWA","CAF","CIV","CMR","COD","COG","DJI","ERI","ETH","GAB","GHA","GIN","GMB","GNB","GNQ","KEN","LBR","LSO","MDG","MLI","MOZ","MRT","MWI","NAM","NER","NGA","RWA","SDN","SEN","SLE","SOM","SSD","SWZ","TCD","TGO","TZA","UGA","ZAF","ZMB","ZWE"
"DJI",0.0157898769848588,0.0280204747448615,0.0141862469449676,0.0130059727302446,0.0142226588611333,0.02249331496385,0.0118697592519318,0.0176583995541425,0,0.0178207072823593,0,0.102066112121421,0.115002684530017,0.0161293183606101,0.0131572451989317,0.0098536715469907,0.00977690527982363,0.00991421703283967,0.0163222688878723,0.0397471515659263,0.0106582029971969,0.013058910893461,0.018514246961886,0.0114103039201605,0.0146251412393253,0.00994337862726814,0.0209502304018891,0.0133560789193343,0.0142106713677751,0.0160684521759821,0.030348594618038,0.0515633388257492,0.00966611697440337,0.0102504913342963,0.0580525236501496,0.0443309702099746,0.0143512321484682,0.0206711809468474,0.0136880732789082,0.029609020091782,0.0370002652077692,0.0142192353590944,0.0184839791815384,0.0179323748259213
"ERI",0.016179155973798,0.027059812268737,0.0155522867952188,0.014384040354703,0.0134949244425334,0.0249423957141834,0.0128668098512089,0.0193761292036835,0,0.0185866113757959,0.101633155394902,0,0.0902698764015999,0.0173397728244282,0.0143113000451869,0.0106002677207769,0.0105674354908814,0.0107047112965689,0.0178436733966927,0.0338839656112851,0.0114644241848205,0.0123342348779203,0.0160974229768628,0.0124747957218115,0.0135851127345411,0.0108220954671504,0.0190817988710878,0.0130423198659933,0.0159138723927971,0.0179721540698849,0.0293218174719134,0.0926154345928672,0.0104533595423715,0.011039076775916,0.0384555925484971,0.0446430445242786,0.0133957875392721,0.0242222533256659,0.0149538109370045,0.0261055121691697,0.034928291286278,0.0133917817746392,0.0174331164165949,0.0166565657704783
"ETH",0.0161015099129477,0.032076403754256,0.0140022885678354,0.0125629640259248,0.01389533482765,0.0243236435215735,0.0114633841320301,0.01814380183161,0,0.0185520959856113,0.101190416334095,0.079766477697678,0,0.0164108829935495,0.012882969675497,0.00931982550874947,0.00919819352193849,0.00935566143096343,0.0165428985400785,0.047627162839358,0.0101884869887293,0.0125631657224995,0.0171674399723138,0.0108809316665379,0.0141027531271123,0.0093079750030867,0.0212840578372223,0.0131493544212624,0.0138145409248039,0.016037079598777,0.0357142231869972,0.056005780544921,0.00907331448713241,0.00973904786997412,0.0524695294777094,0.0569529122821073,0.0138589091790219,0.0212022525301194,0.0134558486958826,0.0322757073743008,0.0467985973744672,0.0138149535324781,0.018801640833084,0.0179255822681136
"GAB",0.0383450992365939,0.0189005452133923,0.0424493240846774,0.023558721408418,0.0128451159978592,0.0381673405178626,0.0238935544780235,0.094404766571341,0,0.0515402946731257,0.0108320262335492,0.0116945430000172,0.0125254758406345,0,0.0349472837399948,0.0143672939673972,0.0132185039870668,0.0139614522872516,0.11177149670215,0.0139283343686604,0.0182168275470583,0.0111379872411504,0.00909902711607569,0.0180634499017023,0.0110714608117904,0.0124937813841465,0.0136137521481367,0.0158476366030203,0.0254654988056704,0.0421468525487045,0.0184127571508772,0.0139617004199897,0.0126920813746263,0.0159234135565844,0.0106376528708675,0.0186364981686795,0.0112716257736758,0.0293961394072833,0.0385940426380437,0.0141267933684657,0.0165131520238596,0.0120279866913134,0.0156433244968601,0.0136553856434026
"GHA",0.0164569010483922,0.0105086878529694,0.102501762659327,0.0468049421206796,0.00819075228664111,0.0172147525143304,0.0628318694389757,0.0273583071059001,0,0.0177158277980747,0.00748768481721871,0.00817914366721441,0.00833234352929266,0.0296143581185747,0,0.020473071537255,0.018015283996606,0.0196796749468404,0.035245131447916,0.00860793376089286,0.0309052083185159,0.00738763592498277,0.00611786004316141,0.0310685706657577,0.00723556047658364,0.0163271301480234,0.00830509186990595,0.00987070370794603,0.0390202443312774,0.0395130408621399,0.0103932725594707,0.00962307905334781,0.0168862707356095,0.0244367376687258,0.00710543944835981,0.00989670887798841,0.00735766342259018,0.0197273694794756,0.189915889174616,0.00857833685187184,0.0097671734663365,0.00776700060796398,0.0092081487329156,0.00836743492533323
"GIN",0.0107458443632244,0.00786902949872492,0.0197890839039605,0.0260943143111301,0.00691572322300789,0.0106641115772608,0.0344086341562404,0.0132992672694574,0,0.0108784229974138,0.0063543193193693,0.00686489581011867,0.00683041876179911,0.0137959700347861,0.0231991124839168,0,0.0906003554449172,0.156252348779428,0.0146857325740144,0.00687547428934908,0.0628466425104045,0.00645429263989545,0.00536533613086119,0.0447126056596141,0.00624311899541806,0.0425317648959536,0.00674483533920776,0.00808793994796444,0.0205319009008438,0.0162673537936293,0.00781315727653549,0.00775130674058833,0.0681525464741593,0.140769881871635,0.00600828856027787,0.00864377911096376,0.00634257132554957,0.0121424480891249,0.0213169275434903,0.0068512970750508,0.00750790038126831,0.00663194271256076,0.00731461303113792,0.00684449019574747
"GMB",0.0086853478179668,0.00663300370266943,0.0158434727060824,0.022015809583379,0.00571430575455999,0.00896897750325841,0.0247841519271762,0.0109605149373603,0,0.00889283694706412,0.0055345753870668,0.0060075676195917,0.0059177148944046,0.0111422145559128,0.0179201411319853,0.079531989715467,0,0.172070954285576,0.0119697484194211,0.00586109955680874,0.0350942028559696,0.00534238358679195,0.00454312963280838,0.0380276878744222,0.00519814465243933,0.0681843600211743,0.00565636369268273,0.00659376907485658,0.0177064760906227,0.0135864247160238,0.00660602981616867,0.00678021323617709,0.230130481673349,0.0540571937202171,0.00517428544748302,0.00684396944557258,0.00527228866807606,0.0104518282264049,0.0168246621219776,0.00580013348926431,0.00638808465683415,0.00549502741995012,0.00608254672698602,0.00570588670799659
"GNB",0.00944092614566102,0.00707922883869728,0.0176296887891401,0.0244397565274701,0.00611953592290282,0.00963358940005201,0.029311037882652,0.011917111010951,0,0.00964161635364462,0.00581862366637544,0.00630932601669765,0.00624029239739185,0.0122010934833009,0.0202953797172853,0.142205845240437,0.178396576057384,0,0.0130983501530847,0.00621906979029097,0.0455583157435629,0.0057116003442847,0.00481685650762921,0.0443745489667831,0.00554758019686967,0.0531435644094243,0.00603244652537734,0.00710280167806452,0.0192404884896991,0.0147996959620278,0.00704243279214121,0.00713382333158684,0.102090448743242,0.0816645104571783,0.00546084596647656,0.00718163142997816,0.00563022946415274,0.0111632742976677,0.0188637075324666,0.00616881849586363,0.00679110660340049,0.00587674216789759,0.00651072716925032,0.00609675533155602
"GNQ",0.0261197707552677,0.0160576735253483,0.0528604269862096,0.025914032671525,0.0105610357318596,0.0355171111289052,0.0242854345073406,0.128479230136204,0,0.0340018723091869,0.00998611968480321,0.0109634355290445,0.0115026112018067,0.101824811847935,0.037890713784674,0.013932880131058,0.0129365467289667,0.0136543486421669,0,0.0122427628468314,0.0177274757302663,0.00926636607502801,0.00786805045412944,0.018501600352429,0.00926899883262226,0.0123617537468149,0.0114304874712002,0.012655494178567,0.0294863634441761,0.0615056226087232,0.0158397320520623,0.0133220143258494,0.0124194247214425,0.0155185636137712,0.00953741440691476,0.0162427242603101,0.00940884266447512,0.0334932010408602,0.0446510075890065,0.0121553574469782,0.0145156864553561,0.00996389628972596,0.0128060559122438,0.0113230481779145
"KEN",0.0174827313541274,0.0553107016196965,0.012363351688729,0.0106244664387352,0.0167547470901315,0.0226117019610199,0.0100717266754481,0.0166971254916368,0,0.0197984692458998,0.0300790755493147,0.0257512828230092,0.0409620591551418,0.0156950957188452,0.011446555099719,0.00806845130851677,0.00783528273072374,0.00801903403786904,0.0151433399451567,0,0.00895793989341755,0.0146553175253164,0.0210716244627481,0.00924938276533435,0.0172289330706368,0.00777672500544155,0.0330843182333102,0.0150471910556418,0.0114963807494509,0.0137515654240975,0.063438597535713,0.0248289576298616,0.0076962896045133,0.00846947915004818,0.0471715454948866,0.0574118820686229,0.0168105831425337,0.0168854922788095,0.0119081986689502,0.0860956593824808,0.0948073213929858,0.0166972177055761,0.026108673790326,0.0246355260355771
