iso3,annee,migrants,pib_pc,ressources,population,n_events,n_deaths,polity2,conflits_pc,deces_pc,log_conflits,log_deces,log_migrants,log_pib,log_ressources,periode,lag_conflits,lag_migrants,lag_pib,lag_polity,lag_ressources,W_lag_migrants,W_log_pib,W_polity2,W_log_ressources,lag_log_conflits
CIV,2014,2579379.2,1742.53693001178,3.41935511091434,24527395,0,0,4,0,0,0,0,14.763059695479198,7.463097336104087,1.4859937829367327,2011-2024,0.008319593406867543,14.751303636760852,7.397761961436249,4,1.6399740770593745,12.5317316174034,6.7516694191679125,4.6000000000000005,2.638128762760897,0.008319593406867543
CIV,2015,2609525,1814.71855088017,3.07259669730878,25246342,0,0,4,0,0,0,0,14.774679153610528,7.503685666289025,1.4042808051799587,2011-2024,0,14.763059695479198,7.463097336104087,4,1.4859937829367327,12.539474308594974,6.757150116231279,5.800000000000001,2.5698043016840826,0
CIV,2016,2639671,1889.27777949938,3.23053071841614,25989405,2,49,4,0.007695443585568812,0.18853836784643588,0.007665984695871542,0.17272428987712934,14.786165224979527,7.543949907775461,1.4423274505346735,2011-2024,0,14.774679153610528,7.503685666289025,4,1.4042808051799587,12.545325018497524,6.778481074594992,5.800000000000001,2.6359580524798636,0
CIV,2017,2669817,1972.81431788947,3.38876801583982,26733372,0,0,4,0,0,0,0,14.7975208632591,7.587216390032501,1.4790485534968802,2011-2024,0.007665984695871542,14.786165224979527,7.543949907775461,4,1.4423274505346735,12.547930434119092,6.815606473974678,5.800000000000001,2.659025231479472,0.007665984695871542
CIV,2018,2699963,2013.32307598499,3.10996909544373,27464173,0,0,4,0,0,0,0,14.808748997552334,7.607541907538331,1.413415509123116,2011-2024,0,14.7975208632591,7.587216390032501,4,1.4790485534968802,12.549761241457604,6.839769616601248,6.000000000000001,2.446946074443839,0
CIV,2019,2730109,2093.09994335779,2.95827158248838,28193009,0,0,0.9130434782608695,0,0,0,0,14.819852459389693,7.646401472551903,1.3758074609174487,2011-2024,0,14.808748997552334,7.607541907538331,4,1.413415509123116,12.550797709833235,6.855316795815954,3.2608695652173916,2.249846937555854,0
CIV,2020,2760255,2055.08483996432,2.59163858078542,28915449,1,3,0.9130434782608695,0.003458358886282554,0.010375076658847663,0.003452392515134167,0.010321624943547575,14.83083398701517,7.628072410732317,1.2786085275562096,2011-2024,0,14.819852459389693,7.646401472551903,NA,1.3758074609174487,12.551012486502987,6.8369689212679,3.2608695652173916,2.31942667019569,0
CIV,2021,2790401,2146.47635317946,4.73502206212113,29639736,0,0,0.9130434782608695,0,0,0,0,14.84169622943966,7.671582871148988,1.7465915975000252,2011-2024,0.003452392515134167,14.83083398701517,7.628072410732317,NA,1.2786085275562096,12.550369488764636,6.862975409981121,3.2608695652173916,2.7041668591474433,0.003452392515134167
CIV,2022,2820547,2227.09845246984,NA,30395002,0,0,0.9130434782608695,0,0,0,0,14.852441750276533,7.708454874843215,1.4946368583947123,2011-2024,0,14.84169622943966,7.671582871148988,NA,1.7465915975000252,12.552581808699586,6.87439664712977,3.2608695652173916,2.5261217927512836,0
CIV,2023,2850693,2315.38147441648,NA,31165654,0,0,0.9130434782608695,0,0,0,0,14.863073031373315,7.747329736710199,1.4946368583947123,2011-2024,0,14.852441750276533,7.708454874843215,NA,NA,12.554008672853127,6.892032369893575,3.2608695652173916,2.5261217927512836,0
CIV,2024,2880839,2395.67689089222,NA,31934230,0,0,0.9130434782608695,0,0,0,0,14.873592476252343,7.781421096590956,1.4946368583947123,2011-2024,0,14.863073031373315,7.747329736710199,NA,NA,12.554626470490774,6.917110754720563,3.2608695652173916,2.5261217927512836,0
CMR,1997,NA,1096.69757735007,8.90970986050162,13775214,0,0,-5,0,0,0,0,NA,7.000058740727588,2.293515070466444,1996-2010,0.02211703674331641,12.832327497410587,6.982296034356327,-5,2.321779610233252,12.369111673809634,7.3649340779905454,-3,3.317759803595104,0.02211703674331641
CMR,1998,NA,1118.50819963079,5.51531751570534,14144860,4,52,-5,0.02827882354438291,0.3676247060769778,0.02788635938578005,0.3130754438998703,NA,7.019751111820425,1.8741559454913677,1996-2010,0,12.832327497410587,7.000058740727588,-5,2.293515070466444,12.369111673809634,7.406391716000212,-2.1666666666666665,3.0624312537791774,0
CMR,1999,NA,1138.36298546565,5.15124734114853,14525140,0,0,-5,0,0,0,0,NA,7.037346531722833,1.8166548809522398,1996-2010,0.02788635938578005,12.832327497410587,7.019751111820425,-5,1.8741559454913677,12.369111673809634,7.400120130121128,-1.3333333333333337,3.095757278215851,0.02788635938578005
CMR,2000,227242,1151.27689302947,8.33574817486337,14912631,4,2,-5,0.026822899326081357,0.013411449663040679,0.02646947140824408,0.013322312262119999,12.333775208484992,7.048626947148554,2.2338509210625537,1996-2010,0,12.832327497410587,7.037346531722833,-5,1.8166548809522398,12.369111673809634,7.405219392440518,-1.3333333333333337,3.4487464671617825,0
CMR,2001,234894.2,1169.92670464984,5.68439536844397,15309490,2,0,-5,0.013063792458141977,0,0.01297919708253809,0,12.366894736210892,7.064696380231057,1.8997757604565342,1996-2010,0.02646947140824408,12.333775208484992,7.048626947148554,-5,2.2338509210625537,11.617441899739042,7.496809872222704,-1.1666666666666665,3.117548724221584,0.02646947140824408
CMR,2002,242546.4,1189.96707897027,5.27982808459118,15725528,0,0,-5,0,0,0,0,12.398952434176618,7.081680920992034,1.8373426050403046,1996-2010,0.01297919708253809,12.366894736210892,7.064696380231057,-5,1.8997757604565342,11.723419952278693,7.543990385563632,-1,3.0755794156193645,0.01297919708253809
CMR,2003,250198.6,1221.09446141454,5.0826805069134,16160340,0,0,-5,0,0,0,0,12.430014278292647,7.107502835094139,1.805445471669795,1996-2010,0,12.398952434176618,7.081680920992034,-5,1.8373426050403046,11.805131450782543,7.561715822925649,-2,3.11828997821881,0
