iso3,annee,z_conflits,lag_z,cluster
BEN,1998,-0.4735211570511624,-0.40005066617096585,NS
BFA,1998,-0.4735211570511624,-0.4323236641289691,NS
BWA,1998,-0.4735211570511624,-0.43940359151252806,NS
CAF,1998,-0.4735211570511624,0.23791004194502813,NS
CIV,1998,-0.45923342051141086,-0.438553407875435,NS
CMR,1998,-0.40692747863106915,-0.006687307525579375,NS
COD,1998,0.058368302367594965,0.5105247087332982,NS
COG,1998,2.0100494614432916,-0.09324728681731619,NS
DJI,1998,-0.4735211570511624,-0.28066899127958167,NS
ERI,1998,-0.16567816861269566,-0.13753880884553987,NS
ETH,1998,-0.3956598139464677,-0.16767590059995846,NS
GAB,1998,-0.4735211570511624,0.37653360858702006,NS
GHA,1998,-0.4735211570511624,-0.4058112524489704,NS
GIN,1998,-0.38648380343611505,0.8864660508442952,LH
GMB,1998,-0.4735211570511624,0.20069015686049674,NS
GNB,1998,1.564210378710345,-0.09289682328780915,NS
GNQ,1998,-0.4735211570511624,-0.44022431784111576,NS
KEN,1998,-0.35263531450844304,-0.15728189776724283,NS
LBR,1998,-0.38571976478757275,1.3422176292991834,LH
LSO,1998,0.059820378694286525,-0.3575592382426014,NS
MDG,1998,-0.4735211570511624,0,NS
MLI,1998,-0.4735211570511624,-0.33692254908565544,NS
MOZ,1998,-0.4735211570511624,-0.45077611335873946,NS
MRT,1998,-0.4735211570511624,-0.13641550009533282,NS
MWI,1998,-0.4735211570511624,-0.4735211570511623,NS
NAM,1998,-0.4735211570511624,-0.18564986195417885,NS
NER,1998,-0.4294659133245787,-0.4100346613193537,NS
NGA,1998,-0.41253641452378437,-0.38174699248157673,NS
RWA,1998,0.9683491562106775,0.5664726195468948,NS
SDN,1998,0.4565645444610104,-0.345090743516197,NS
SEN,1998,0.20069015686049674,-0.048567379175851466,NS
SLE,1998,4.872370111845076,-0.3861017841118439,NS
SOM,1998,0.002735849162702152,-0.3741475642274554,NS
SSD,1998,-0.4735211570511624,-0.02555444143793187,NS
SWZ,1998,-0.4735211570511624,-0.4155401976468819,NS
TCD,1998,-0.21707342091949663,-0.2531772838139169,NS
TGO,1998,-0.2846791797843381,-0.4735211570511623,NS
TZA,1998,-0.4735211570511624,0.24182025072343613,NS
UGA,1998,0.5535567900498763,-0.05459203400649909,NS
ZAF,1998,-0.3575592382426014,-0.38121284386925813,NS
ZMB,1998,-0.4735211570511624,-0.24161065503927312,NS
ZWE,1998,-0.45301281370518615,-0.45032877328945026,NS
AGO,1999,2.026801355671508,0.4006981468763748,NS
BDI,1999,3.300408577808534,-0.1825612479973077,NS
BEN,1999,-0.4553936831140557,-0.43482701487541003,NS
BFA,1999,-0.4553936831140557,-0.4349357700780363,NS
BWA,1999,-0.4553936831140557,-0.3983900677055614,NS
CAF,1999,-0.38563126473894604,0.24419310422253418,NS
CIV,1999,-0.4249418339380975,-0.3710495799337217,NS
CMR,1999,-0.4553936831140557,0.046726666575290086,NS
COD,1999,0.3230373954478713,0.6227889980709894,NS
COG,1999,2.0461499244097725,0.21068402403046443,NS
DJI,1999,-0.4553936831140557,0.2359233671680734,NS
ERI,1999,0.7630777884219262,-0.2145405938875535,NS
ETH,1999,-0.2912310540857794,0.02899369871296968,NS
GAB,1999,-0.4553936831140557,0.37845418606055364,NS
GHA,1999,-0.4553936831140557,-0.4452430667220696,NS
GIN,1999,-0.39235557844131047,0.5033215317620824,NS
GMB,1999,-0.4553936831140557,-0.22217424233100044,NS
GNB,1999,0.1284696600715586,-0.30726491038615544,NS
GNQ,1999,-0.4553936831140557,-0.4553936831140557,NS
KEN,1999,-0.38539465037247855,-0.038233727920616134,NS
LBR,1999,-0.1890069009252883,1.0911277164632707,NS
LSO,1999,-0.4553936831140557,-0.3940518819092945,NS
MDG,1999,-0.4553936831140557,0,NS
MLI,1999,-0.36309805407389817,-0.40094211734209584,NS
MOZ,1999,-0.4553936831140557,-0.44013914171512714,NS
MRT,1999,-0.4553936831140557,-0.2926361482024493,NS
MWI,1999,-0.4553936831140557,-0.452758542902202,NS
NAM,1999,-0.3110010492380889,0.05776969019465915,NS
NER,1999,-0.4553936831140557,-0.34865134285859684,NS
NGA,1999,-0.3731270101594729,-0.3656063332934172,NS
RWA,1999,-0.42323287696129963,0.893709651483463,LH
SDN,1999,0.10300295553717449,-0.09308449946967133,NS
SEN,1999,-0.22217424233100044,-0.3075542677343523,NS
SLE,1999,4.09068056176922,-0.2906812396832994,NS
